Allele	D3S1358	D21S11	D18S51	D5S818	D13S317	D7S820	D16S539	CSF1PO	D8S1179	FGA	TH01	VWA	TPOX	D19S433	D2S1338
6	–	–	–	–	–	–	–	–	–	–	0.193	–	–	–	–
7	–	–	–	–	–	0.018	–	–	–	–	0.184	–	0.004	–	–
8	–	–	–	0.004	0.175	0.171	0.018	0.009	0.013	–	0.127	–	0.482	–	–
9	–	–	–	0.044	0.057	0.105	0.105	0.022	0.009	–	0.250	–	0.145	–	–
9.3	–	–	–	–	–	–	–	–	–	–	0.224	–	–	–	–
10	–	–	0.018	0.026	0.075	0.303	0.053	0.338	0.118	–	0.022	–	0.031	–	–
11	–	–	0.026	0.377	0.320	0.232	0.329	0.276	0.079	–	–	–	0.294	–	–
12	–	–	0.171	0.355	0.219	0.118	0.303	0.276	0.123	–	–	–	0.044	0.079	–
13	–	–	0.123	0.180	0.118	0.044	0.158	0.057	0.268	–	–	–	–	0.316	–
13.2	–	–	–	–	–	–	–	–	–	–	–	–	–	0.026	–
14	0.088	–	0.180	0.013	0.031	0.009	0.031	0.022	0.224	–	–	0.132	–	0.355	–
14.2	–	–	–	–	–	–	–	–	–	–	–	–	–	0.018	–
15	0.189	–	0.167	–	0.004	–	0.004	–	0.136	–	–	0.118	–	0.149	–
15.2	–	–	–	–	–	–	–	–	–	–	–	–	–	0.026	–
16	0.206	–	0.136	–	–	–	–	–	0.031	–	–	0.272	–	0.022	0.053
16.2	–	–	–	–	–	–	–	–	–	–	–	–	–	0.004	–
17	0.241	–	0.061	–	–	–	–	–	–	–	–	0.254	–	0.004	0.268
18	0.211	–	0.061	–	–	–	–	–	–	0.004	–	0.162	–	–	0.110
19	0.061	–	0.026	–	–	–	–	–	–	0.070	–	0.057	–	–	0.096
20	0.004	–	0.022	–	–	–	–	–	–	0.127	–	0.004	–	–	0.149
21	–	–	0.009	–	–	–	–	–	–	0.272	–	–	–	–	0.031
22	–	–	–	–	–	–	–	–	–	0.140	–	–	–	–	0.035
23	–	–	–	–	–	–	–	–	–	0.123	–	–	–	–	0.110
23.2	–	–	–	–	–	–	–	–	–	0.004	–	–	–	–	–
24	–	–	–	–	–	–	–	–	–	0.154	–	–	–	–	0.083
25	–	–	–	–	–	–	–	–	–	0.066	–	–	–	–	0.057
25.2	–	0.004	–	–	–	–	–	–	–	–	–	–	–	–	–
26	–	–	–	–	–	–	–	–	–	0.035	–	–	–	–	0.009
27	–	0.035	–	–	–	–	–	–	–	–	–	–	–	–	–
28	–	0.162	–	–	–	–	–	–	–	0.004	–	–	–	–	–
29	–	0.228	–	–	–	–	–	–	–	–	–	–	–	–	–
30	–	0.197	–	–	–	–	–	–	–	–	–	–	–	–	–
30.2	–	0.057	–	–	–	–	–	–	–	–	–	–	–	–	–
31	–	0.101	–	–	–	–	–	–	–	–	–	–	–	–	–
31.2	–	0.079	–	–	–	–	–	–	–	–	–	–	–	–	–
32.2	–	0.083	–	–	–	–	–	–	–	–	–	–	–	–	–
33	–	0.009	–	–	–	–	–	–	–	–	–	–	–	–	–
33.2	–	0.035	–	–	–	–	–	–	–	–	–	–	–	–	–
34.2	–	0.009	–	–	–	–	–	–	–	–	–	–	–	–	–
